1959	00	00	GM	SN	1	2	F		-4	1268	1604	−1	−	114	45
1961	11	05	GM	SN	3	5	NKR		-9	1258	1613	0	+1	117	43
1961	11	19	SN	GM	2	3	NKR		-28	1585	1286	−3	+2	47	115
1961	12	02	GM	SN	1	2	F		-5	1281	1590	0	0	115	47
1961	12	25	SN	GA	3	2	JAM	CI	9	1599	1371	0	−1	45	101
1961	12	27	SN	CM	4	0	JAM	CI	31	1630	1510	+3	−8	42	65
1961	12	29	CI	SN	1	1	JAM		-6	1641	1636	0	0	41	42
1961	12	31	DH	SN	4	3	JAM	CI	27	1540	1609	+6	−2	57	44
1962	00	00	SN	CI	1	1	F		-2	1607	1643	−1	0	45	41
1963	02	24	ML	SN	3	1	NKR	GH	24	1606	1583	+2	−3	46	48
1963	02	27	NG	SN	4	0	NKR	GH	23	1665	1560	+3	−6	35	54
1963	04	11	SN	CM	1	0	JAM		11	1571	1477	+2	−5	54	77
1963	04	14	SN	NG	5	1	JAM		37	1608	1629	+9	−6	44	41
1963	04	16	SN	NE	3	1	JAM		2	1610	1094	0	0	45	141
1963	04	20	SN	TN	1	1	JAM		-7	1603	1599	−3	+1	48	49
1963	11	21	SN	ET	1	2	F		-14	1589	1569	−1	+6	50	53
1963	12	15	SN	GN	1	1	F		-2	1587	1618	0	0	48	45
1964	03	27	CJ	SN	2	0	F		12	1575	1575	+4	−2	49	49
1964	03	29	CB	SN	3	1	F		10	1597	1565	0	−3	47	52
1965	01	13	SN	CD	1	1	F		-2	1563	1592	0	0	52	48
1965	02	24	SN	GN	2	0	FQ		29	1592	1618	+5	−5	47	43
1965	03	07	SN	ML	3	0	AGQ		21	1613	1528	+3	−5	44	62
1965	03	14	ML	SN	4	0	AGQ		36	1564	1577	+9	−6	53	50
1965	03	29	GN	SN	3	1	FQ		18	1636	1559	+3	−3	40	54
1965	04	18	ML	SN	0	2	FQ		-39	1525	1598	−10	+6	62	48
1965	05	05	SN	ML	3	1	FQ		16	1614	1508	+1	−5	47	67
1965	11	14	TN	SN	0	0	AR		-9	1633	1623	−2	+3	41	43
1965	11	19	SN	ET	5	1	AR	TN	34	1657	1489	+6	−10	37	72
1965	11	21	CI	SN	1	0	AR	TN	23	1702	1634	+4	−3	30	40
1966	03	06	GN	SN	5	0	F		18	1591	1616	+2	−3	49	43
1966	06	05	SN	LB	2	3	F		-18	1598	1394	−3	+3	47	96
1967	02	19	GN	SN	3	0	FQ		26	1620	1572	+6	−3	41	49
1967	03	08	SN	CM	0	1	F		-14	1558	1546	−1	+6	50	57
1967	03	11	SN	CM	2	0	F		10	1568	1536	+1	−3	50	61
1967	03	19	SN	GN	4	1	FQ		30	1598	1590	+5	−6	45	47
1967	05	06	LR	SN	0	0	FQ		8	1363	1590	+1	−1	104	47
1967	05	08	LR	SN	1	1	FQ		7	1370	1583	0	−2	104	49
1967	07	02	SN	LR	4	1	FQ		10	1593	1360	+1	0	48	104
1967	10	22	SN	GN	2	1	FQ		15	1608	1592	+6	−6	45	51
1967	10	27	GN	SN	1	0	FT	GM	16	1608	1592	+6	−6	45	51
1967	12	10	SN	CG	1	0	F		7	1599	1596	+3	−1	49	51
1968	01	12	GH	SN	2	2	AR	ET	-10	1733	1609	0	+6	24	44
1968	01	14	SN	CG	2	1	AR	ET	22	1631	1539	+4	−6	40	64
1968	01	16	CD	SN	2	1	AR	ET	22	1700	1609	+4	−5	31	45
1968	02	18	SN	ML	1	1	F		-4	1605	1553	−3	+1	46	59
1968	03	17	ML	SN	0	2	F		-17	1536	1622	−4	+5	63	42
1968	06	30	CI	SN	2	1	F		5	1737	1617	+1	−1	25	44
1968	08	10	SN	CI	1	1	F		1	1618	1736	0	0	44	25
1968	09	07	SN	GN	4	4	F		-3	1615	1626	0	0	44	42
1968	11	03	MA	SN	1	0	WQ		12	1673	1603	+1	−2	34	47
1968	12	01	GH	SN	2	0	F		9	1652	1594	+1	−2	37	52
1969	01	05	SN	MA	2	1	WQ		19	1613	1654	+4	−3	45	36
1969	01	22	CG	SN	1	0	F		9	1559	1604	+3	−2	60	48
1969	01	24	SN	CM	3	2	FT	CD	12	1616	1525	+2	−1	46	66
1969	01	26	CD	SN	4	0	FT		12	1764	1604	+3	−2	21	48
1969	02	13	MA	SN	2	0	WQ	ES	26	1672	1578	+6	−4	33	52
1969	10	12	GN	SN	4	3	FQ		12	1640	1566	+3	−3	41	56
1969	10	26	SN	GN	1	1	FQ		-1	1565	1641	0	+1	56	39
1969	11	00	SN	RU	0	4	F		-6	1559	1953	−1	0	57	6
1970	05	14	GN	SN	3	1	F		8	1652	1551	0	−3	41	60
1970	05	17	GN	SN	4	0	F		9	1661	1542	+2	−3	39	63
1970	10	11	SL	SN	1	0	F		12	1375	1530	+1	−3	97	65
1970	10	18	CI	SN	0	1	F		-16	1647	1546	−1	+5	39	60
1970	10	25	TG	SN	3	0	F		18	1464	1528	+7	−4	75	64
1970	11	15	GN	SN	1	0	FQ		9	1647	1519	+1	−1	40	64
1970	11	29	SN	GN	0	0	FQ		2	1521	1645	0	0	65	40
1971	03	04	CM	SN	1	1	F		-4	1579	1525	−1	0	54	65
1971	03	07	CM	SN	1	2	F		-14	1565	1539	−4	0	58	65
1971	03	10	SN	CM	3	0	F		14	1553	1551	+5	−3	60	61
1971	04	03	NG	SN	1	1	OQ		-7	1581	1560	−1	+1	52	60
1971	04	18	SN	NG	2	1	OQ		16	1576	1565	+5	−9	55	60
1971	07	25	SN	SL	2	1	F		3	1579	1384	+1	−1	54	95
